file,sigma,duration_min,sampling_hz,smoothing_window_sec,actual_blockage_min,blockage_confirmed,fft_threshold,static_threshold,composite_first_crossing_min,static_first_crossing_min,composite_lead_min,static_lead_min,composite_max,static_max,composite_crossings_count,static_crossings_count,forecast_best_fit,forecast_best_r2,forecast_consensus_eta_min,forecast_eta_lead_min,forecast_linear_r2,forecast_linear_eta_min,forecast_exp_r2,forecast_exp_eta_min,forecast_power_r2,forecast_power_eta_min,flow_best_fit,flow_r2,flow_eta_min,flow_eta_lead_min,error
27-01-23-LF.xlsx,3,54.733,1.0,60.0,54.733,yes,0.055915,0.309397,54.367,24.533,0.366,30.2,1.133618,0.553554,88,1781,exponential,-0.3618,103.442,-48.709,-1.5898,103.442,-0.3618,87.286,-1.2886,353.542,linear,0.0048,2688.835,-2634.102,
27-01-23-LF.xlsx,4,54.733,1.0,60.0,54.733,yes,0.055957,0.412529,54.367,24.8,0.366,29.933,1.133618,0.553554,88,1755,exponential,-0.3618,103.49,-48.757,-1.5898,103.49,-0.3618,87.295,-1.2886,353.728,linear,0.0048,2688.835,-2634.102,
27-01-23-LF.xlsx,5,54.733,1.0,60.0,54.733,yes,0.055957,0.515661,54.367,25.167,0.366,29.566,1.133618,0.553554,88,1726,exponential,-0.3618,103.49,-48.757,-1.5898,103.49,-0.3618,87.295,-1.2886,353.728,linear,0.0048,2688.835,-2634.102,
29-06-LF-Run1.xlsx,3,41.367,1.0,60.0,,no_block,0.075074,0.001259,,,,,0.108228,0.000876,36,0,linear,-0.0103,6377.809,,-0.0103,9735.726,-0.0118,3019.891,-0.0478,,exponential,0.0053,,,
29-06-LF-Run1.xlsx,4,41.367,1.0,60.0,,no_block,0.075106,0.001678,,,,,0.108228,0.000876,36,0,linear,-0.01,6614.875,,-0.01,10105.093,-0.0113,3124.657,-0.0466,,exponential,0.0053,,,
29-06-LF-Run1.xlsx,5,41.367,1.0,60.0,,no_block,0.075106,0.002098,,,,,0.108228,0.000876,36,0,linear,-0.01,6614.875,,-0.01,10105.093,-0.0113,3124.657,-0.0466,,exponential,0.0053,,,
29-06-LF.xlsx,3,132.317,1.0,60.0,36.233,yes,0.013556,0.001616,36.2,35.733,0.033,0.5,1.127711,0.040102,3199,3650,linear,-0.4267,,,-0.4267,,-0.7737,,-0.6362,,linear,0.0008,30799.298,-30763.065,
29-06-LF.xlsx,4,132.317,1.0,60.0,36.233,yes,0.013568,0.002154,36.2,35.783,0.033,0.45,1.12771,0.040102,3198,3642,linear,-0.4267,,,-0.4267,,-0.7737,,-0.6363,,linear,0.0008,30799.298,-30763.065,
29-06-LF.xlsx,5,132.317,1.0,60.0,36.233,yes,0.013568,0.002693,36.2,35.833,0.033,0.4,1.12771,0.040102,3198,3612,linear,-0.4267,,,-0.4267,,-0.7737,,-0.6363,,linear,0.0008,30799.298,-30763.065,
Experiment1,3,261.051,100.0,60.0,66.0,yes,0.030298,0.011473,2.532,,63.468,,0.062523,0.002625,4702,0,power_law,-0.0848,,,-0.4564,,-0.3979,,-0.0848,,linear,0.2783,17813.556,-17747.556,
Experiment1,4,261.051,100.0,60.0,66.0,yes,0.030303,0.015298,2.532,,63.468,,0.062523,0.002625,4702,0,power_law,-0.0848,,,-0.4564,,-0.3979,,-0.0848,,linear,0.2783,17813.556,-17747.556,
Experiment1,5,261.051,100.0,60.0,66.0,yes,0.030303,0.019122,2.532,,63.468,,0.062523,0.002625,4702,0,power_law,-0.0848,,,-0.4564,,-0.3979,,-0.0848,,linear,0.2783,17813.556,-17747.556,
Experiment2 copy,3,194.543,20.0,60.0,194.0,yes,0.015246,0.005355,9.192,178.709,184.808,15.291,1.073012,0.010459,3999,408,linear,-2.5174,125.898,68.102,-2.5174,125.898,-2.5218,136.22,-7.6187,116.027,linear,0.4274,643.007,-449.007,
Experiment2 copy,4,194.543,20.0,60.0,194.0,yes,0.015261,0.007139,9.192,179.99,184.808,14.01,1.073012,0.010459,3996,375,linear,-2.5174,125.906,68.094,-2.5174,125.906,-2.5218,136.252,-7.6187,116.07,linear,0.4274,643.007,-449.007,
Experiment2 copy,5,194.543,20.0,60.0,194.0,yes,0.015261,0.008924,9.192,180.378,184.808,13.622,1.073012,0.010459,3996,226,linear,-2.5174,125.906,68.094,-2.5174,125.906,-2.5218,136.252,-7.6187,116.07,linear,0.4274,643.007,-449.007,
