Time;Flow rate (Mean);TS outlet pressure (Mean);TS inlet pressure (Mean);Pump outlet pressure (Mean);Temperature TS outlet (Mean);Tank temperature (Mean);Temperature TS inlet (Mean);Bypass temperature (Mean)
17:41:20,632;383,965142;0,110977;0,126736;0,172006;-0,094172;-2,467076;-0,142689;24,050956
17:41:20,642;382,079218;0,111503;0,128837;0,170169;-0,291065;-2,716449;-0,31332;24,090338
17:41:20,652;382,550699;0,108877;0,119911;0,171087;-0,041668;-2,414576;-0,182065;24,050956
17:41:20,662;382,079218;0,110452;0,126211;0,166494;-0,277938;-2,545825;-0,365821;24,103465
17:41:20,672;386,322546;0,110452;0,124111;0,172925;-0,06792;-2,467076;-0,247692;24,090338
17:41:20,682;381,136257;0,106777;0,125161;0,170169;-0,251686;-2,900198;-0,405198;24,064083
17:41:20,692;383,02218;0,107302;0,124636;0,172006;-0,094172;-2,440826;-0,208316;24,12972
17:41:20,702;381,607737;0,114653;0,129362;0,171087;-0,23856;-2,66395;-0,33957;24,12972
17:41:20,712;381,136257;0,109402;0,124111;0,173844;-0,041668;-2,506451;-0,142689;24,116592
17:41:20,722;383,02218;0,108352;0,126736;0,172006;-0,343569;-2,61145;-0,444574;24,116592
17:41:20,732;386,322546;0,108352;0,126736;0,172925;-0,028542;-2,453951;-0,090187;24,142847
17:41:20,742;383,02218;0,105202;0,123061;0,171087;-0,277938;-2,690199;-0,431448;24,090338
17:41:20,752;385,379584;0,113078;0,126736;0,170169;-0,002289;-2,440826;-0,16894;24,011574
17:41:20,762;381,136257;0,105202;0,122011;0,177519;-0,317317;-2,729574;-0,405198;24,024701
17:41:20,772;383,965142;0,109927;0,125161;0,171087;-0,015416;-2,414576;-0,195191;24,050956
17:41:20,782;383,493661;0,107827;0,119911;0,172006;-0,330443;-2,768949;-0,378947;24,116592
17:41:20,792;382,079218;0,112028;0,123586;0,172006;-0,028542;-2,467076;-0,155814;24,050956
17:41:20,802;381,136257;0,108352;0,124111;0,172006;-0,330443;-2,703324;-0,405198;24,07721
17:41:20,812;382,550699;0,115178;0,123586;0,171087;-0,041668;-2,427701;-0,195191;24,116592
17:41:20,822;385,851065;0,104677;0,124111;0,167413;-0,304191;-2,795199;-0,33957;24,064083
17:41:20,832;384,908103;0,106777;0,125161;0,174762;-0,041668;-2,506451;-0,129563;24,103465
17:41:20,842;383,493661;0,105202;0,121486;0,16925;-0,291065;-2,690199;-0,378947;24,103465
17:41:20,852;383,493661;0,113078;0,126211;0,167413;-0,06792;-2,506451;-0,103313;24,07721
17:41:20,862;383,965142;0,104677;0,120436;0,170169;-0,304191;-2,677075;-0,392072;24,103465
17:41:20,872;385,379584;0,114128;0,126736;0,172006;-0,06792;-2,322702;-0,116438;24,12972
17:41:20,882;383,493661;0,109927;0,126736;0,168331;-0,304191;-2,61145;-0,31332;24,103465
17:41:20,892;383,965142;0,113078;0,128312;0,171087;-0,028542;-2,453951;-0,011435;24,064083
17:41:20,902;384,908103;0,117278;0,126211;0,170169;-0,317317;-2,703324;-0,405198;24,116592
17:41:20,912;384,436622;0,111503;0,130412;0,16925;-0,002289;-2,322702;-0,050811;24,064083
17:41:20,922;382,079218;0,114653;0,133562;0,172006;-0,317317;-2,729574;-0,405198;24,064083
17:41:20,932;382,550699;0,107827;0,124111;0,175681;-0,002289;-2,414576;-0,090187;24,090338
17:41:20,942;383,965142;0,116228;0,122011;0,171087;-0,304191;-2,598325;-0,392072;24,116592
