Time;Flow rate (Mean);TS outlet pressure (Mean);TS inlet pressure (Mean);Pump outlet pressure (Mean);Temperature TS outlet (Mean);Tank temperature (Mean);Temperature TS inlet (Mean);Bypass temperature (Mean)
14:41:20,672;396,223643;0,119903;0,139862;0,1766;-0,802984;-2,532701;-0,877713;24,904233
14:41:20,682;397,166605;0,119903;0,130937;0,172006;-0,868615;-2,716449;-1,140222;24,956742
14:41:20,692;398,109567;0,116228;0,130937;0,1766;-0,802984;-2,493326;-0,956466;24,996124
14:41:20,702;396,695124;0,116228;0,129362;0,180275;-0,855489;-2,782074;-1,192723;24,969869
14:41:20,712;395,280682;0,106777;0,132512;0,174762;-0,75048;-2,467076;-0,969591;25,009251
14:41:20,722;396,223643;0,112553;0,123586;0,174762;-0,881741;-2,821448;-1,205849;24,930487
14:41:20,732;399,524009;0,110452;0,127787;0,172006;-0,763606;-2,572075;-0,917089;24,982997
14:41:20,742;397,638086;0,107827;0,122536;0,172925;-0,855489;-2,795199;-1,205849;25,009251
14:41:20,752;398,109567;0,111503;0,125686;0,171087;-0,737353;-2,61145;-0,982716;24,996124
14:41:20,762;397,166605;0,113603;0,123586;0,173844;-0,855489;-2,716449;-1,205849;24,969869
14:41:20,772;397,166605;0,113603;0,127787;0,1766;-0,776732;-2,598325;-0,94334;25,048633
14:41:20,782;396,223643;0,118328;0,132512;0,173844;-0,855489;-2,795199;-1,192723;25,048633
14:41:20,792;397,166605;0,116753;0,133037;0,171087;-0,789858;-2,532701;-0,969591;24,982997
14:41:20,802;397,638086;0,108352;0,125161;0,172925;-0,829236;-2,847698;-1,218974;24,969869
14:41:20,812;398,109567;0,115178;0,128312;0,172006;-0,75048;-2,6377;-0,917089;24,982997
14:41:20,822;396,223643;0,118853;0,130412;0,168331;-0,881741;-2,887073;-1,25835;24,982997
14:41:20,832;399,052528;0,108877;0,122011;0,16925;-0,75048;-2,506451;-0,956466;25,009251
14:41:20,842;394,33772;0,111503;0,126211;0,1766;-0,802984;-2,755824;-1,2321;25,022379
14:41:20,852;397,638086;0,109927;0,128837;0,171087;-0,763606;-2,506451;-0,917089;25,022379
14:41:20,862;396,695124;0,112553;0,128837;0,1766;-0,881741;-2,913323;-1,245225;24,91736
14:41:20,872;397,166605;0,110452;0,126211;0,171087;-0,776732;-2,519576;-0,903964;25,022379
14:41:20,882;399,99549;0,106777;0,122011;0,171087;-0,829236;-2,55895;-1,179598;25,022379
14:41:20,892;396,695124;0,114128;0,128312;0,172925;-0,802984;-2,598325;-0,930215;24,956742
14:41:20,902;398,109567;0,110977;0,123061;0,16925;-0,829236;-2,768949;-1,166472;24,969869
14:41:20,912;398,581047;0,115703;0,128837;0,174762;-0,763606;-2,427701;-0,956466;24,982997
14:41:20,922;393,394758;0,110977;0,132512;0,170169;-0,829236;-2,742699;-1,218974;24,996124
14:41:20,932;397,166605;0,110977;0,124636;0,174762;-0,763606;-2,6377;-0,956466;24,982997
14:41:20,942;396,695124;0,110452;0,133037;0,16925;-0,842363;-2,821448;-1,205849;24,969869
14:41:20,952;397,166605;0,118328;0,131462;0,174762;-0,776732;-2,467076;-0,903964;24,969869
14:41:20,962;397,638086;0,114128;0,126211;0,173844;-0,842363;-2,834573;-1,2321;24,982997
14:41:20,972;394,809201;0,112553;0,120961;0,175681;-0,789858;-2,55895;-0,917089;24,996124
14:41:20,982;396,695124;0,113078;0,126736;0,173844;-0,842363;-2,703324;-1,205849;25,061761
14:41:20,992;398,109567;0,113603;0,128837;0,173844;-0,737353;-2,5852;-0,982716;25,009251
14:41:21,002;398,581047;0,111503;0,125161;0,1766;-0,829236;-2,900198;-1,2321;25,009251
14:41:21,012;396,695124;0,110452;0,131987;0,177519;-0,75048;-2,453951;-0,864588;24,996124
14:41:21,022;398,581047;0,110452;0,125161;0,175681;-0,855489;-2,768949;-1,2321;25,022379
14:41:21,032;399,524009;0,109927;0,126736;0,173844;-0,737353;-2,55895;-0,903964;25,035506
14:41:21,042;399,052528;0,118853;0,130412;0,172925;-0,855489;-2,768949;-1,166472;24,982997
14:41:21,052;396,695124;0,109927;0,126736;0,174762;-0,763606;-2,453951;-0,969591;24,982997
14:41:21,062;395,752162;0,118328;0,130412;0,171087;-0,855489;-2,768949;-1,153347;24,956742
14:41:21,072;397,166605;0,107827;0,134612;0,1766;-0,789858;-2,6377;-0,956466;24,930487
14:41:21,082;394,809201;0,115703;0,128837;0,171087;-0,81611;-2,729574;-1,25835;24,996124
14:41:21,092;397,638086;0,114128;0,127261;0,174762;-0,776732;-2,532701;-0,903964;24,956742
14:41:21,102;397,166605;0,113078;0,124636;0,172006;-0,855489;-2,847698;-1,218974;24,982997
14:41:21,112;398,109567;0,112553;0,124636;0,172006;-0,776732;-2,598325;-0,94334;25,048633
14:41:21,122;395,752162;0,110977;0,130937;0,174762;-0,81611;-2,873948;-1,245225;24,996124
14:41:21,132;396,695124;0,110977;0,130412;0,172925;-0,75048;-2,5852;-0,94334;24,969869
14:41:21,142;396,695124;0,106252;0,125686;0,174762;-0,81611;-2,847698;-1,205849;25,048633
14:41:21,152;401,881413;0,117278;0,130412;0,172006;-0,711101;-2,519576;-0,94334;24,982997
14:41:21,162;397,166605;0,113603;0,131987;0,178437;-0,868615;-2,768949;-1,192723;24,956742
14:41:21,172;399,99549;0,114128;0,128312;0,175681;-0,75048;-2,506451;-0,969591;24,969869
14:41:21,182;399,524009;0,109402;0,123586;0,177519;-0,802984;-2,755824;-1,166472;25,035506
14:41:21,192;400,466971;0,110452;0,129887;0,171087;-0,802984;-2,545825;-1,008967;24,996124
14:41:21,202;396,695124;0,112553;0,125686;0,172006;-0,868615;-2,887073;-1,25835;24,969869
14:41:21,212;399,524009;0,112553;0,124636;0,175681;-0,75048;-2,572075;-0,956466;25,074888
14:41:21,222;397,638086;0,112028;0,133562;0,168331;-0,81611;-2,768949;-1,205849;24,930487
14:41:21,232;396,695124;0,114653;0,130937;0,172006;-0,776732;-2,5852;-0,903964;24,982997
14:41:21,242;394,33772;0,110977;0,136712;0,171087;-0,855489;-2,887073;-1,271476;25,022379
14:41:21,252;399,524009;0,107302;0,125161;0,170169;-0,75048;-2,519576;-0,903964;25,009251
14:41:21,262;397,638086;0,116228;0,134087;0,175681;-0,855489;-2,768949;-1,218974;24,943615
14:41:21,272;399,052528;0,108877;0,122011;0,172925;-0,75048;-2,572075;-0,930215;24,982997
14:41:21,282;397,166605;0,110977;0,127261;0,175681;-0,881741;-2,742699;-1,192723;24,982997
14:41:21,292;396,695124;0,106252;0,126736;0,171087;-0,789858;-2,493326;-0,930215;24,982997
14:41:21,302;396,695124;0,107827;0,127261;0,175681;-0,81611;-2,860823;-1,25835;25,035506
14:41:21,312;395,280682;0,113603;0,133037;0,172925;-0,711101;-2,61145;-0,94334;25,009251
14:41:21,322;400,466971;0,110977;0,128837;0,172925;-0,829236;-2,716449;-1,271476;25,022379
14:41:21,332;396,223643;0,117278;0,128837;0,172925;-0,763606;-2,362077;-0,956466;24,969869
14:41:21,342;399,052528;0,109927;0,123061;0,173844;-0,81611;-2,913323;-1,25835;25,009251
14:41:21,352;402,824375;0,112553;0,129887;0,172006;-0,763606;-2,532701;-0,969591;25,035506
14:41:21,362;397,166605;0,113603;0,124111;0,175681;-0,868615;-2,795199;-1,25835;24,969869
14:41:21,372;399,052528;0,115703;0,130412;0,172925;-0,776732;-2,532701;-0,94334;25,035506
14:41:21,382;399,052528;0,116228;0,128837;0,172006;-0,907993;-2,913323;-1,218974;24,969869
14:41:21,392;397,166605;0,116753;0,127787;0,170169;-0,75048;-2,467076;-0,956466;25,009251
14:41:21,402;395,752162;0,108877;0,125686;0,174762;-0,789858;-2,860823;-1,166472;24,982997
14:41:21,412;399,052528;0,117278;0,123061;0,16925;-0,763606;-2,6377;-0,903964;24,930487
14:41:21,422;398,581047;0,119903;0,130412;0,174762;-0,868615;-2,755824;-1,218974;24,943615
14:41:21,432;398,581047;0,108877;0,122536;0,16925;-0,75048;-2,532701;-0,956466;24,996124
14:41:21,442;397,166605;0,108877;0,125161;0,170169;-0,907993;-2,808324;-1,179598;24,956742
14:41:21,452;397,166605;0,110452;0,124111;0,172006;-0,776732;-2,519576;-0,94334;24,943615
14:41:21,462;396,223643;0,118328;0,135137;0,170169;-0,868615;-2,913323;-1,179598;24,996124
14:41:21,472;399,524009;0,110452;0,128312;0,174762;-0,802984;-2,650825;-0,995842;24,996124
14:41:21,482;401,409932;0,104677;0,125161;0,168331;-0,829236;-2,808324;-1,2321;24,996124
14:41:21,492;399,524009;0,106777;0,128312;0,173844;-0,763606;-2,453951;-0,917089;25,048633
14:41:21,502;398,109567;0,113603;0,124636;0,172006;-0,842363;-2,808324;-1,192723;24,956742
14:41:21,512;398,109567;0,110452;0,127787;0,172006;-0,789858;-2,572075;-0,969591;24,969869
14:41:21,522;398,581047;0,109402;0,123061;0,172006;-0,855489;-2,782074;-1,218974;24,956742
14:41:21,532;397,166605;0,114653;0,127787;0,177519;-0,724227;-2,532701;-0,930215;24,956742
14:41:21,542;397,638086;0,109402;0,124111;0,171087;-0,868615;-2,834573;-1,25835;25,009251
14:41:21,552;398,109567;0,113078;0,128837;0,172006;-0,724227;-2,5852;-0,903964;24,956742
14:41:21,562;397,166605;0,107827;0,126211;0,1766;-0,81611;-2,742699;-1,310852;25,035506
14:41:21,572;396,695124;0,110452;0,126211;0,1766;-0,75048;-2,493326;-0,94334;24,996124
14:41:21,582;399,99549;0,112553;0,127787;0,174762;-0,868615;-2,729574;-1,218974;25,009251
14:41:21,592;400,466971;0,117803;0,136712;0,175681;-0,776732;-2,506451;-0,982716;24,982997
14:41:21,602;397,166605;0,108352;0,121486;0,172925;-0,829236;-2,965822;-1,245225;24,996124
14:41:21,612;398,109567;0,109402;0,129362;0,174762;-0,75048;-2,427701;-0,930215;24,969869
14:41:21,622;397,166605;0,114128;0,131462;0,170169;-0,881741;-2,729574;-1,25835;25,009251
14:41:21,632;395,752162;0,111503;0,128837;0,175681;-0,75048;-2,427701;-0,917089;24,982997
14:41:21,642;398,109567;0,110452;0,130412;0,174762;-0,868615;-2,965822;-1,297727;25,022379
14:41:21,652;393,394758;0,112553;0,131462;0,172925;-0,75048;-2,506451;-0,917089;24,982997
14:41:21,662;395,752162;0,110452;0,123586;0,174762;-0,868615;-2,808324;-1,179598;25,009251
14:41:21,672;397,638086;0,110452;0,127787;0,172925;-0,763606;-2,480201;-0,969591;25,022379
14:41:21,682;397,166605;0,114653;0,126736;0,174762;-0,829236;-2,742699;-1,2321;24,996124
14:41:21,692;396,223643;0,116228;0,127787;0,172925;-0,724227;-2,480201;-0,930215;25,074888
14:41:21,702;396,695124;0,113078;0,126211;0,174762;-0,907993;-2,808324;-1,297727;24,996124
14:41:21,712;400,938452;0,119378;0,127261;0,177519;-0,724227;-2,532701;-0,982716;25,009251
14:41:21,722;395,752162;0,109402;0,128837;0,174762;-0,842363;-2,755824;-1,218974;24,996124
14:41:21,732;398,581047;0,109402;0,122536;0,170169;-0,75048;-2,5852;-0,930215;24,956742
14:41:21,742;397,166605;0,107827;0,125161;0,170169;-0,842363;-2,795199;-1,2321;25,035506
14:41:21,752;397,166605;0,108877;0,126736;0,175681;-0,763606;-2,440826;-0,903964;24,996124
14:41:21,762;396,695124;0,107302;0,122011;0,170169;-0,842363;-2,795199;-1,192723;25,009251
14:41:21,772;397,166605;0,109402;0,124111;0,174762;-0,789858;-2,519576;-0,930215;24,956742
14:41:21,782;396,695124;0,112028;0,123586;0,171087;-0,855489;-2,847698;-1,271476;25,009251
14:41:21,792;397,638086;0,115178;0,131987;0,172006;-0,776732;-2,519576;-0,903964;25,009251
14:41:21,802;396,695124;0,107827;0,124111;0,173844;-0,868615;-2,873948;-1,245225;24,982997
14:41:21,812;397,166605;0,110452;0,122536;0,172006;-0,737353;-2,493326;-0,864588;25,022379
14:41:21,822;397,166605;0,116228;0,133037;0,174762;-0,855489;-2,742699;-1,2321;24,982997
14:41:21,832;397,166605;0,109927;0,124636;0,172006;-0,763606;-2,414576;-0,930215;24,956742
14:41:21,842;392,923277;0,109402;0,129362;0,174762;-0,894867;-2,782074;-1,25835;25,009251
14:41:21,852;400,466971;0,113078;0,127261;0,172006;-0,789858;-2,480201;-0,864588;24,982997
14:41:21,862;397,166605;0,107827;0,129362;0,171087;-0,829236;-2,887073;-1,218974;24,982997
14:41:21,872;395,752162;0,120428;0,133037;0,174762;-0,776732;-2,55895;-1,035218;24,982997
