Time;Flow rate (Mean);TS outlet pressure (Mean);TS inlet pressure (Mean);Pump outlet pressure (Mean);Temperature TS outlet (Mean);Tank temperature (Mean);Temperature TS inlet (Mean);Bypass temperature (Mean)
18:01:20,952;379,250333;0,104677;0,123586;0,164656;-0,186055;-2,755824;-0,31332;24,103465
18:01:20,962;381,607737;0,105727;0,122011;0,172006;0,010837;-2,362077;-0,142689;24,090338
18:01:20,972;380,664776;0,109927;0,124111;0,16925;-0,186055;-2,650825;-0,260818;24,011574
18:01:20,982;383,493661;0,107827;0,124636;0,171087;0,063341;-2,493326;-0,129563;24,12972
18:01:20,992;380,664776;0,112553;0,121486;0,172006;-0,277938;-2,66395;-0,33957;24,064083
18:01:21,002;380,664776;0,106777;0,119386;0,164656;0,115846;-2,388327;-0,090187;24,07721
18:01:21,012;380,193295;0,108877;0,119386;0,167413;-0,225434;-2,598325;-0,326445;24,064083
18:01:21,022;380,664776;0,114128;0,125161;0,170169;0,010837;-2,440826;-0,155814;24,142847
18:01:21,032;378,778852;0,104677;0,119911;0,171087;-0,225434;-2,768949;-0,365821;24,103465
18:01:21,042;383,965142;0,104152;0,119386;0,166494;0,063341;-2,401452;-0,090187;24,090338
18:01:21,052;379,721814;0,107827;0,117811;0,170169;-0,225434;-2,703324;-0,31332;24,090338
18:01:21,062;379,721814;0,107827;0,119386;0,170169;0,089594;-2,453951;-0,142689;24,064083
18:01:21,072;386,322546;0,115178;0,125686;0,171087;-0,225434;-2,453951;-0,300194;24,064083
18:01:21,082;379,721814;0,112028;0,126736;0,167413;0,037089;-2,401452;-0,129563;24,064083
18:01:21,092;376,421448;0,112553;0,120961;0,165575;-0,225434;-2,624575;-0,33957;24,12972
18:01:21,102;381,136257;0,112553;0,124111;0,168331;0,063341;-2,493326;-0,155814;24,064083
18:01:21,112;379,721814;0,105202;0,119911;0,168331;-0,186055;-2,6377;-0,300194;24,103465
18:01:21,122;381,136257;0,108352;0,123061;0,170169;0,023963;-2,335827;-0,050811;24,07721
18:01:21,132;379,721814;0,109402;0,118336;0,165575;-0,225434;-2,61145;-0,287069;24,064083
18:01:21,142;378,778852;0,108877;0,122536;0,165575;0,063341;-2,506451;-0,103313;24,037828
18:01:21,152;377,835891;0,109402;0,122536;0,166494;-0,199182;-2,467076;-0,287069;24,103465
18:01:21,162;378,307372;0,106252;0,120436;0,16925;0,023963;-2,401452;-0,116438;24,037828
18:01:21,172;378,778852;0,104677;0,121486;0,164656;-0,225434;-2,677075;-0,392072;24,011574
18:01:21,182;379,250333;0,118853;0,127787;0,166494;0,076467;-2,55895;-0,037685;24,064083
18:01:21,192;382,079218;0,109927;0,120961;0,173844;-0,264812;-2,532701;-0,33957;24,064083
18:01:21,202;381,136257;0,112028;0,121486;0,165575;0,076467;-2,427701;-0,037685;24,064083
18:01:21,212;379,250333;0,110977;0,126211;0,170169;-0,264812;-2,742699;-0,326445;24,07721
18:01:21,222;379,721814;0,105727;0,122536;0,171087;0,076467;-2,401452;-0,037685;24,090338
18:01:21,232;379,250333;0,108352;0,127787;0,170169;-0,264812;-2,532701;-0,31332;24,050956
18:01:21,242;380,664776;0,115703;0,120961;0,166494;0,063341;-2,401452;-0,090187;24,050956
18:01:21,252;379,250333;0,109402;0,123586;0,166494;-0,212308;-2,677075;-0,365821;24,064083
18:01:21,262;380,664776;0,104677;0,124636;0,16925;0,037089;-2,506451;-0,077062;24,103465
18:01:21,272;381,607737;0,104152;0,121486;0,168331;-0,23856;-2,6377;-0,33957;24,142847
18:01:21,282;379,250333;0,115178;0,129887;0,168331;0,076467;-2,493326;-0,063936;24,011574
18:01:21,292;378,778852;0,116753;0,121486;0,164656;-0,23856;-2,716449;-0,33957;24,07721
18:01:21,302;380,193295;0,112028;0,124111;0,172925;0,050215;-2,335827;-0,011435;24,064083
18:01:21,312;378,778852;0,106777;0,120961;0,167413;-0,225434;-2,703324;-0,444574;24,07721
18:01:21,322;380,664776;0,110452;0,121486;0,170169;0,076467;-2,388327;-0,129563;24,103465
18:01:21,332;379,250333;0,107827;0,126736;0,166494;-0,225434;-2,66395;-0,365821;24,037828
18:01:21,342;381,607737;0,109927;0,124111;0,168331;0,089594;-2,335827;-0,011435;24,064083
18:01:21,352;378,778852;0,109927;0,127261;0,170169;-0,23856;-2,624575;-0,418323;24,090338
18:01:21,362;379,721814;0,109402;0,122011;0,168331;0,050215;-2,401452;-0,063936;24,037828
18:01:21,372;380,193295;0,106777;0,125686;0,172925;-0,23856;-2,768949;-0,378947;24,011574
18:01:21,382;376,421448;0,113078;0,121486;0,170169;0,076467;-2,309577;-0,077062;24,090338
18:01:21,392;380,193295;0,110452;0,124111;0,16925;-0,277938;-2,6377;-0,418323;24,103465
18:01:21,402;376,892929;0,113078;0,124636;0,166494;0,089594;-2,467076;-0,063936;24,103465
18:01:21,412;378,778852;0,107302;0,121486;0,168331;-0,23856;-2,716449;-0,365821;24,090338
18:01:21,422;382,550699;0,104677;0,119911;0,168331;0,050215;-2,283327;-0,103313;24,050956
18:01:21,432;382,079218;0,108352;0,118861;0,167413;-0,172929;-2,650825;-0,352696;24,116592
18:01:21,442;379,721814;0,104152;0,116236;0,170169;0,010837;-2,453951;-0,103313;24,07721
18:01:21,452;377,36441;0,106777;0,124111;0,162819;-0,199182;-2,768949;-0,405198;24,12972
18:01:21,462;382,079218;0,109927;0,120436;0,167413;0,050215;-2,283327;-0,090187;24,090338
