Time;Flow rate (Mean);TS outlet pressure (Mean);TS inlet pressure (Mean);Pump outlet pressure (Mean);Temperature TS outlet (Mean);Tank temperature (Mean);Temperature TS inlet (Mean);Bypass temperature (Mean)
15:21:19,532;390,094392;0,117278;0,135137;0,1766;-0,776732;-2,913323;-1,205849;25,048633
15:21:19,542;393,866239;0,109927;0,120961;0,172006;-0,671723;-2,66395;-0,838337;25,009251
15:21:19,552;392,451797;0,108352;0,127787;0,173844;-0,776732;-2,624575;-1,127096;24,969869
15:21:19,562;393,394758;0,109402;0,127787;0,172006;-0,658597;-2,572075;-0,79896;24,982997
15:21:19,572;390,565873;0,109927;0,124636;0,172925;-0,776732;-2,939573;-1,166472;25,074888
15:21:19,582;394,809201;0,114128;0,126211;0,1766;-0,632344;-2,506451;-0,864588;25,048633
15:21:19,592;392,923277;0,106252;0,122536;0,170169;-0,763606;-2,677075;-1,192723;25,088015
15:21:19,602;392,923277;0,112028;0,122011;0,175681;-0,658597;-2,6377;-0,864588;24,969869
15:21:19,612;391,980316;0,105727;0,128837;0,171087;-0,776732;-2,965822;-1,271476;25,048633
15:21:19,622;395,280682;0,115178;0,131987;0,174762;-0,684849;-2,6377;-0,864588;24,996124
15:21:19,632;389,622912;0,117803;0,128837;0,171087;-0,671723;-2,755824;-1,074594;25,074888
15:21:19,642;394,809201;0,107827;0,123586;0,173844;-0,671723;-2,480201;-0,838337;24,996124
15:21:19,652;392,451797;0,107302;0,119911;0,173844;-0,737353;-2,834573;-1,153347;25,061761
15:21:19,662;392,451797;0,116753;0,128837;0,172006;-0,671723;-2,572075;-0,864588;25,035506
15:21:19,672;391,980316;0,108877;0,124636;0,172925;-0,724227;-2,808324;-1,192723;25,022379
15:21:19,682;391,980316;0,116753;0,128837;0,16925;-0,64547;-2,598325;-0,785835;24,982997
15:21:19,692;394,33772;0,118328;0,124636;0,171087;-0,776732;-2,847698;-1,113971;24,982997
15:21:19,702;393,866239;0,109402;0,127261;0,16925;-0,658597;-2,572075;-0,825211;24,956742
15:21:19,712;392,923277;0,111503;0,122536;0,171087;-0,737353;-2,847698;-1,166472;25,048633
15:21:19,722;391,980316;0,108352;0,124636;0,173844;-0,658597;-2,690199;-0,930215;24,969869
15:21:19,732;391,508835;0,108877;0,128312;0,172925;-0,724227;-2,873948;-1,140222;25,061761
15:21:19,742;391,980316;0,108877;0,124111;0,172925;-0,684849;-2,6377;-0,903964;25,009251
15:21:19,752;392,451797;0,110452;0,130937;0,171087;-0,737353;-2,913323;-1,179598;25,048633
15:21:19,762;394,33772;0,109927;0,131462;0,172006;-0,632344;-2,716449;-0,930215;25,022379
15:21:19,772;390,094392;0,107827;0,120961;0,172925;-0,789858;-2,782074;-1,127096;25,009251
15:21:19,782;393,394758;0,113078;0,134087;0,172925;-0,684849;-2,480201;-0,785835;24,969869
15:21:19,792;392,923277;0,110977;0,124111;0,172925;-0,763606;-3,018322;-1,2321;25,022379
15:21:19,802;394,809201;0,112028;0,128312;0,173844;-0,619218;-2,532701;-0,864588;25,022379
15:21:19,812;389,151431;0,115178;0,128312;0,171087;-0,789858;-2,821448;-1,113971;25,022379
15:21:19,822;392,923277;0,108352;0,125686;0,171087;-0,64547;-2,506451;-0,903964;25,048633
15:21:19,832;390,565873;0,112028;0,133037;0,172925;-0,737353;-2,887073;-1,179598;24,996124
15:21:19,842;388,67995;0,116228;0,129887;0,1766;-0,658597;-2,532701;-0,903964;25,035506
15:21:19,852;389,151431;0,109927;0,138287;0,173844;-0,802984;-2,755824;-1,100845;24,982997
15:21:19,862;391,980316;0,108352;0,129362;0,172925;-0,671723;-2,572075;-0,930215;25,009251
15:21:19,872;392,451797;0,119378;0,130937;0,1766;-0,724227;-2,860823;-1,08772;25,061761
15:21:19,882;392,923277;0,110977;0,128837;0,173844;-0,671723;-2,519576;-0,917089;24,996124
15:21:19,892;392,923277;0,117803;0,130412;0,173844;-0,724227;-2,847698;-1,113971;25,088015
15:21:19,902;394,33772;0,110977;0,131462;0,177519;-0,724227;-2,506451;-0,903964;24,943615
15:21:19,912;392,451797;0,114128;0,127787;0,168331;-0,711101;-2,860823;-1,127096;25,035506
15:21:19,922;394,809201;0,120428;0,130412;0,174762;-0,711101;-2,401452;-0,890838;25,009251
15:21:19,932;392,923277;0,107302;0,126211;0,171087;-0,724227;-2,887073;-1,166472;25,035506
