Time;Flow rate (Mean);TS outlet pressure (Mean);TS inlet pressure (Mean);Pump outlet pressure (Mean);Temperature TS outlet (Mean);Tank temperature (Mean);Temperature TS inlet (Mean);Bypass temperature (Mean)
15:01:21,612;391,980316;0,111503;0,122536;0,173844;-0,619218;-2,598325;-1,048344;25,048633
15:01:21,622;396,695124;0,115703;0,134087;0,171087;-0,606092;-2,401452;-0,825211;24,982997
15:01:21,632;391,508835;0,112553;0,127261;0,170169;-0,64547;-2,453951;-0,969591;25,022379
15:01:21,642;393,394758;0,109402;0,126211;0,172925;-0,632344;-2,309577;-0,851462;24,982997
15:01:21,652;393,394758;0,113078;0,127261;0,16925;-0,619218;-2,5852;-1,048344;25,074888
15:01:21,662;392,451797;0,110977;0,127787;0,174762;-0,632344;-2,204578;-0,785835;24,969869
15:01:21,672;395,280682;0,113603;0,128837;0,171087;-0,632344;-2,480201;-0,995842;25,009251
15:01:21,682;393,394758;0,120953;0,129362;0,1766;-0,606092;-2,112704;-0,812086;25,022379
15:01:21,692;391,980316;0,112028;0,128837;0,16925;-0,632344;-2,650825;-0,956466;25,048633
15:01:21,702;392,451797;0,109927;0,124636;0,170169;-0,619218;-2,230828;-0,785835;25,022379
15:01:21,712;391,508835;0,112028;0,124636;0,16925;-0,64547;-2,650825;-1,100845;25,022379
15:01:21,722;394,809201;0,114653;0,126211;0,171087;-0,57984;-2,375202;-0,759584;24,982997
15:01:21,732;393,394758;0,107827;0,126736;0,172925;-0,619218;-2,624575;-1,074594;25,048633
15:01:21,742;393,866239;0,108877;0,126211;0,172925;-0,527335;-2,322702;-0,77271;25,061761
15:01:21,752;390,565873;0,113603;0,120961;0,175681;-0,619218;-2,467076;-1,061469;24,982997
15:01:21,762;390,565873;0,111503;0,125161;0,172006;-0,592966;-2,335827;-0,746459;25,022379
15:01:21,772;392,923277;0,113603;0,124636;0,172925;-0,658597;-2,532701;-1,100845;25,11427
15:01:21,782;394,33772;0,114128;0,124111;0,172925;-0,592966;-2,204578;-0,746459;25,074888
15:01:21,792;390,094392;0,108352;0,128837;0,170169;-0,606092;-2,716449;-1,022093;25,074888
15:01:21,802;391,980316;0,115178;0,130937;0,174762;-0,606092;-2,243953;-0,77271;24,996124
15:01:21,812;393,866239;0,116228;0,129362;0,171087;-0,632344;-2,545825;-1,035218;25,035506
15:01:21,822;397,638086;0,115703;0,131987;0,1766;-0,64547;-2,296452;-0,79896;24,969869
15:01:21,832;391,037354;0,106252;0,124636;0,172925;-0,632344;-2,703324;-1,100845;25,009251
15:01:21,842;393,394758;0,111503;0,127261;0,174762;-0,606092;-2,217703;-0,77271;25,061761
15:01:21,852;389,622912;0,110977;0,126211;0,172925;-0,632344;-2,624575;-1,074594;24,996124
15:01:21,862;392,451797;0,108877;0,124111;0,173844;-0,566714;-2,322702;-0,707082;25,022379
15:01:21,872;392,451797;0,109402;0,123586;0,172006;-0,606092;-2,5852;-1,061469;25,061761
15:01:21,882;395,752162;0,112553;0,127261;0,174762;-0,57984;-2,191453;-0,746459;24,930487
15:01:21,892;391,980316;0,115703;0,125161;0,170169;-0,606092;-2,598325;-0,995842;25,035506
15:01:21,902;392,923277;0,108877;0,121486;0,166494;-0,566714;-2,322702;-0,759584;24,996124
15:01:21,912;391,508835;0,108352;0,121486;0,1766;-0,632344;-2,506451;-1,022093;25,022379
15:01:21,922;393,394758;0,116228;0,123061;0,175681;-0,540461;-2,270203;-0,746459;25,009251
15:01:21,932;391,980316;0,106252;0,118861;0,174762;-0,64547;-2,624575;-1,100845;25,035506
15:01:21,942;391,980316;0,113078;0,126736;0,172006;-0,553587;-2,204578;-0,667706;25,022379
15:01:21,952;390,094392;0,109402;0,124111;0,172925;-0,619218;-2,572075;-1,08772;25,048633
15:01:21,962;391,508835;0,107827;0,126736;0,173844;-0,57984;-2,440826;-0,759584;25,009251
15:01:21,972;389,622912;0,114653;0,136712;0,172006;-0,632344;-2,690199;-1,022093;25,022379
15:01:21,982;396,223643;0,116753;0,130412;0,174762;-0,606092;-2,165203;-0,746459;24,969869
15:01:21,992;391,508835;0,108352;0,127261;0,16925;-0,606092;-2,5852;-1,008967;25,048633
15:01:22,002;391,508835;0,112553;0,128837;0,172006;-0,592966;-2,243953;-0,77271;25,035506
15:01:22,012;391,980316;0,112553;0,131987;0,172006;-0,592966;-2,6377;-1,008967;25,048633
15:01:22,022;394,809201;0,117803;0,130412;0,171087;-0,592966;-2,217703;-0,785835;25,048633
15:01:22,032;391,037354;0,119378;0,135137;0,172006;-0,671723;-2,598325;-1,061469;25,022379
15:01:22,042;394,809201;0,113603;0,129362;0,172006;-0,553587;-2,335827;-0,654581;25,009251
15:01:22,052;391,980316;0,112028;0,128312;0,172006;-0,671723;-2,532701;-1,08772;25,022379
15:01:22,062;389,622912;0,113078;0,129362;0,172925;-0,540461;-2,178328;-0,707082;24,996124
15:01:22,072;390,565873;0,106777;0,117811;0,172006;-0,64547;-2,61145;-1,061469;25,022379
15:01:22,082;390,094392;0,114653;0,125161;0,170169;-0,566714;-2,217703;-0,707082;25,074888
15:01:22,092;391,037354;0,111503;0,130412;0,172925;-0,619218;-2,480201;-1,061469;25,022379
15:01:22,102;392,923277;0,112553;0,125686;0,173844;-0,619218;-2,375202;-0,733333;25,048633
15:01:22,112;390,094392;0,109402;0,125686;0,172006;-0,64547;-2,572075;-1,022093;25,035506
15:01:22,122;392,923277;0,108877;0,124111;0,16925;-0,606092;-2,230828;-0,746459;24,943615
15:01:22,132;393,394758;0,109927;0,124111;0,168331;-0,619218;-2,453951;-0,969591;24,956742
15:01:22,142;391,508835;0,110452;0,123061;0,175681;-0,592966;-2,453951;-0,746459;25,048633
15:01:22,152;390,094392;0,109402;0,125686;0,16925;-0,632344;-2,545825;-0,982716;25,035506
15:01:22,162;388,67995;0,119903;0,133562;0,173844;-0,57984;-2,152078;-0,707082;25,048633
15:01:22,172;390,565873;0,110452;0,126736;0,170169;-0,632344;-2,677075;-0,982716;25,035506
15:01:22,182;391,980316;0,110452;0,125686;0,171087;-0,566714;-2,348952;-0,641455;25,048633
15:01:22,192;390,565873;0,114653;0,137237;0,172006;-0,619218;-2,296452;-0,982716;25,048633
15:01:22,202;392,451797;0,109402;0,129362;0,172006;-0,619218;-2,243953;-0,733333;25,009251
15:01:22,212;389,151431;0,123053;0,125686;0,175681;-0,64547;-2,598325;-1,035218;24,996124
15:01:22,222;390,565873;0,114653;0,122011;0,175681;-0,553587;-2,335827;-0,746459;25,048633
15:01:22,232;392,923277;0,107827;0,125686;0,172006;-0,697975;-2,532701;-1,08772;25,061761
15:01:22,242;391,037354;0,109402;0,133562;0,172925;-0,553587;-2,388327;-0,693957;24,969869
15:01:22,252;390,094392;0,116228;0,132512;0,177519;-0,684849;-2,5852;-1,048344;25,048633
15:01:22,262;392,451797;0,113078;0,128837;0,173844;-0,606092;-2,283327;-0,654581;24,982997
15:01:22,272;391,980316;0,107302;0,124636;0,173844;-0,619218;-2,467076;-1,035218;25,022379
15:01:22,282;391,980316;0,114653;0,128837;0,175681;-0,592966;-2,283327;-0,707082;24,969869
15:01:22,292;390,094392;0,112553;0,130937;0,174762;-0,632344;-2,572075;-0,956466;25,035506
15:01:22,302;391,980316;0,114653;0,130937;0,174762;-0,64547;-2,322702;-0,720208;25,009251
15:01:22,312;389,622912;0,114653;0,126211;0,171087;-0,619218;-2,519576;-0,982716;25,022379
15:01:22,322;393,394758;0,112028;0,125161;0,179356;-0,632344;-2,335827;-0,77271;24,982997
15:01:22,332;392,923277;0,118853;0,128312;0,172925;-0,619218;-2,532701;-1,061469;25,048633
15:01:22,342;391,508835;0,110977;0,127787;0,177519;-0,57984;-2,453951;-0,77271;25,035506
15:01:22,352;389,622912;0,108352;0,127261;0,172925;-0,619218;-2,545825;-1,048344;25,048633
15:01:22,362;391,508835;0,112028;0,131462;0,179356;-0,566714;-2,191453;-0,720208;25,022379
15:01:22,372;391,980316;0,110452;0,123586;0,172925;-0,671723;-2,624575;-1,022093;24,996124
15:01:22,382;391,037354;0,113078;0,127261;0,172925;-0,553587;-2,388327;-0,707082;25,074888
15:01:22,392;389,622912;0,115703;0,136187;0,173844;-0,684849;-2,480201;-0,917089;24,969869
15:01:22,402;391,037354;0,117278;0,131987;0,172925;-0,566714;-2,401452;-0,759584;25,022379
15:01:22,412;392,451797;0,109402;0,122536;0,172006;-0,632344;-2,677075;-0,94334;25,035506
15:01:22,422;392,451797;0,114128;0,128312;0,171087;-0,606092;-2,296452;-0,785835;24,969869
15:01:22,432;391,508835;0,114653;0,125686;0,174762;-0,619218;-2,5852;-1,022093;25,035506
15:01:22,442;396,223643;0,108877;0,126736;0,171087;-0,57984;-2,335827;-0,79896;25,022379
15:01:22,452;392,451797;0,110977;0,124111;0,172925;-0,632344;-2,506451;-0,956466;25,009251
15:01:22,462;391,508835;0,111503;0,126211;0,174762;-0,57984;-2,230828;-0,77271;25,009251
15:01:22,472;391,980316;0,114653;0,121486;0,172006;-0,619218;-2,532701;-0,982716;25,022379
