Time;Flow rate (Mean);TS outlet pressure (Mean);TS inlet pressure (Mean);Pump outlet pressure (Mean);Temperature TS outlet (Mean);Tank temperature (Mean);Temperature TS inlet (Mean);Bypass temperature (Mean)
17:21:18,102;386,794027;0,107827;0,122011;0,16925;-0,133551;-2,506451;-0,208316;24,103465
17:21:18,112;383,965142;0,106252;0,120436;0,171087;-0,382948;-2,729574;-0,497076;24,116592
17:21:18,122;384,908103;0,112028;0,125161;0,166494;-0,015416;-2,427701;-0,129563;24,103465
17:21:18,132;385,851065;0,107827;0,121486;0,16925;-0,343569;-2,598325;-0,457699;24,169102
17:21:18,142;383,965142;0,111503;0,124636;0,167413;-0,081046;-2,506451;-0,142689;24,090338
17:21:18,152;384,436622;0,122003;0,131462;0,164656;-0,356695;-2,624575;-0,470825;24,221611
17:21:18,162;386,322546;0,110452;0,122536;0,171087;-0,06792;-2,519576;-0,260818;24,12972
17:21:18,172;383,965142;0,111503;0,118336;0,166494;-0,382948;-2,532701;-0,470825;24,182229
17:21:18,182;388,67995;0,108877;0,118861;0,167413;-0,06792;-2,453951;-0,155814;24,07721
17:21:18,192;387,736988;0,107302;0,117811;0,166494;-0,356695;-2,716449;-0,444574;24,182229
17:21:18,202;385,851065;0,118853;0,127261;0,168331;-0,094172;-2,427701;-0,129563;24,155974
17:21:18,212;382,079218;0,106777;0,116236;0,167413;-0,356695;-2,768949;-0,431448;24,116592
17:21:18,222;383,493661;0,105727;0,117811;0,172006;-0,06792;-2,388327;-0,195191;24,142847
17:21:18,232;383,02218;0,105727;0,123061;0,162819;-0,356695;-2,703324;-0,431448;24,155974
17:21:18,242;383,493661;0,108877;0,124111;0,164656;-0,107299;-2,348952;-0,103313;24,12972
17:21:18,252;384,908103;0,110452;0,119911;0,166494;-0,382948;-2,755824;-0,497076;24,155974
17:21:18,262;386,794027;0,105202;0,116761;0,168331;-0,028542;-2,427701;-0,16894;24,12972
17:21:18,272;380,664776;0,109402;0,123061;0,168331;-0,396074;-2,677075;-0,48395;24,103465
17:21:18,282;384,436622;0,109402;0,120436;0,16925;-0,06792;-2,506451;-0,155814;24,12972
17:21:18,292;384,436622;0,106252;0,127787;0,167413;-0,369821;-2,677075;-0,470825;24,182229
17:21:18,302;386,322546;0,109927;0,125161;0,165575;-0,081046;-2,493326;-0,090187;24,103465
17:21:18,312;384,908103;0,115178;0,126211;0,165575;-0,369821;-2,677075;-0,457699;24,12972
